,NO OF ITERATIONS,COST,BIAS HISTORY,WEIGHT_HISTORY
0,0,0.6733594318907429,-0.001274165202108963,"[ 3.52963335e-03  2.00738993e-03  3.59058734e-03  3.42788392e-03
  1.73361066e-03  2.88419579e-03  3.36684719e-03  3.75486993e-03
  1.59793583e-03 -6.20688506e-05  2.74204968e-03 -4.01459950e-05
  2.68889878e-03  2.65067984e-03 -3.24017408e-04  1.41662947e-03
  1.22676447e-03  1.97285421e-03 -3.15322027e-05  3.76990817e-04
  3.75409605e-03  2.20909103e-03  3.78533140e-03  3.54798926e-03
  2.03775114e-03  2.85743236e-03  3.18916612e-03  3.83683244e-03
  2.01275191e-03  1.56589785e-03]"
1,100,0.2480247238439553,-0.09677841743731913,"[ 0.1572487   0.10155249  0.15813913  0.15115087  0.06578088  0.10221081
  0.13163681  0.15876163  0.05774783 -0.03064978  0.11609632 -0.00506048
  0.10944535  0.11074462 -0.01898578  0.02553797  0.01695463  0.05959302
 -0.01310592 -0.01962087  0.17062047  0.11612912  0.16920064  0.15867082
  0.09557222  0.11226067  0.12823568  0.16579354  0.09485495  0.05553444]"
2,200,0.18640956634301817,-0.15338953240266873,"[ 0.21958675  0.1516118   0.21984595  0.21187314  0.08621709  0.12581227
  0.17395565  0.21808403  0.07311333 -0.05901844  0.16451447 -0.00661217
  0.15220637  0.15657747 -0.02422704  0.01112524 -0.0016446   0.06465207
 -0.02332997 -0.05111     0.24150061  0.17577141  0.23778803  0.22483108
  0.13849473  0.14582096  0.16956204  0.22779576  0.13613881  0.06838954]"
3,300,0.15843822471180874,-0.19364702095734168,"[ 0.25959953  0.18860051  0.25920572  0.2514746   0.0990367   0.13615506
  0.20017051  0.25652182  0.0817509  -0.08075869  0.1986539  -0.00630684
  0.18125022  0.18832742 -0.02477414 -0.00494443 -0.0190008   0.06435753
 -0.03111455 -0.0768986   0.28882747  0.22068381  0.28301858  0.26944361
  0.16997376  0.16454587  0.19510933  0.26801374  0.16512319  0.07558535]"
4,400,0.14187777752909778,-0.22470648907641352,"[ 0.28887997  0.21870184  0.2878868   0.28084783  0.10865568  0.14123742
  0.21982435  0.28535392  0.08776716 -0.09807706  0.22598109 -0.00512759
  0.20382081  0.21322803 -0.02323594 -0.01994662 -0.03287085  0.06346143
 -0.0374612  -0.0977374   0.32470276  0.257764    0.31698435  0.30352118
  0.19580741  0.17694827  0.21434658  0.2983698   0.18817759  0.0809409 ]"
5,500,0.13072667995745876,-0.2497997519362034,"[ 0.31183787  0.24434077  0.31029502  0.30414317  0.11643116  0.14353787
  0.23587039  0.30856655  0.09231178 -0.11251318  0.2491739  -0.00361422
  0.22251373  0.23396874 -0.02072402 -0.03377088 -0.04387351  0.06273068
 -0.04295131 -0.11508431  0.3537387   0.28974862  0.34425751  0.33126137
  0.21808056  0.18583951  0.23019989  0.32302446  0.20762295  0.08536317]"
6,600,0.122606820625715,-0.2706952536445371,"[ 0.33064191  0.266772    0.32858967  0.32341072  0.1229753   0.14414153
  0.24958213  0.32806053  0.09586434 -0.12498545  0.26952996 -0.00204516
  0.23858633  0.25187764 -0.017761   -0.04661556 -0.05276887  0.06224851
 -0.04790762 -0.12998681  0.3782176   0.31806237  0.3670905   0.35474906
  0.23783676  0.19250408  0.24391737  0.34393602  0.22459543  0.08918231]"
7,700,0.11637402661128232,-0.2884727722694186,"[ 0.34651482  0.28674498  0.34398635  0.33981311  0.12863007  0.14362616
  0.26163914  0.34490349  0.09868803 -0.13604322  0.28779369 -0.00055728
  0.25275595  0.2677186  -0.0146061  -0.05866461 -0.0601124   0.06198476
 -0.05250897 -0.14311878  0.39943695  0.34355885  0.38676005  0.37517559
  0.25569287  0.19764204  0.25615077  0.36219167  0.23974917  0.09256618]"
8,800,0.11140518245745666,-0.3038423973735726,"[ 0.36021115  0.30475091  0.35723461  0.35407237  0.13361079  0.14233687
  0.27245521  0.35975914  0.10095164 -0.14602989  0.30443901  0.00078549
  0.26547521  0.28197536 -0.01139299 -0.07005634 -0.06628294  0.06190018
 -0.05685768 -0.1549165   0.41820469  0.36679827  0.40405918  0.39328691
  0.27205062  0.20167767  0.26728692  0.37846063  0.2535005   0.09561859]"
9,900,0.10732975657226665,-0.31729718256182554,"[ 0.37222812  0.32113371  0.36882807  0.36666727  0.13806315  0.14049524
  0.28230407  0.3730694   0.10277286 -0.15517163  0.31978935  0.00195663
  0.27704974  0.29497548 -0.00819222 -0.08089296 -0.07154116  0.06196297
 -0.06101484 -0.16567259  0.43505811  0.38817316  0.41951398  0.40958178
  0.28718883  0.20488667  0.2775753   0.39318484  0.26613282  0.09841032]"
